index,project_name,create_time,project_language,contributor,star,fork,issues,watch,project_commits,code_language,keyword_index,matched_keyword,path_of_first_file_commit,final_change_commit_path,code_granularity_data,code_func_type,number_of_bug_or_vulnerability_all_commit,start_end_line_data,first_loc,final_start_end_line_data,final_loc_add,final_loc_minus,final_change_type,test_code_data,regular_expression_data,number_of_commits,number_of_change_commit_to_first,change_commit_to_first_index,change_commit_to_first_hash,change_commit_to_first_blocks,number_of_all_change_commit,all_change_commit_index,all_change_commit_hash,all_change_commit_blocks,number_of_all_change_fix_commit,all_change_fix_commit_index,all_change_fix_commit_hash,all_change_fix_commit_blocks,project_lines,project_locs,project_statements,project_functions,project_classes,project_files,project_density_comments,project_comments,project_duplicated_lines,project_duplicated_blocks,project_duplicated_files,project_duplicated_lines_density,project_vulnerability,project_bugs,project_code_smells,project_sqale_index,project_sqale_debt_ratio,project_complexity_all,project_cognitive_complexity_all,project_complexity_mean_method,project_cognitive_complexity_mean_method,code_lines,code_locs,code_statements,code_functions,code_classes,code_files,code_density_comments,code_comments,code_duplicated_lines,code_duplicated_blocks,code_duplicated_files,code_duplicated_lines_density,code_code_smells,code_sqale_index,code_sqale_debt_ratio,code_complexity_all,code_cognitive_complexity_all,code_complexity_mean_method,code_cognitive_complexity_mean_method,manual_vs_gpt_loc_ratio,manual_vs_gpt_change_commit_ratio,manual_vs_gpt_change_fix_commit_ratio,code_vulnerability,code_bugs
20,plsa-gpu,2023-04-17 13:32:46,C++,,1,0,0,1,33,C++,80,generated by chatgpt,plsa-gpu\141a9d07a72e544508d9e1e29a9298302f29f05b\stage3_cpu_processing.cpp,,method,,4,"[81,102]",22,,,,,,,5,0,[],[],[],0,[],[],[],0,[],[],[],1366,734,594,36,4,13,21.1,196,0,0,0,0.0,0,0,134,1413,6.4,126,144,3.5,4.0,23,12,10,1,0,1,29.4,5,0,0,0,0.0,3,29,8.1,1,0,1.0,0.0,,,,0,0
23,JackCompiler,2023-08-21 03:44:51,C++,,0,1,0,1,27,C++,102,generated by chatgpt,JackCompiler\a320f8233dd9ca7b5800408eba7e9ff371487e71\src\CompilerOut\PrintTypes.cpp,JackCompiler\ccac6bb6207bf1783f86cbf7cfc6fe06648c6bc9\src\CompilerOut\PrintTypes.cpp,method,,0,"[103,123]",21,,,,,,,4,2,"[-3, -4]","['ba7135861e97495f6d14622005fab7087201a655', 'ccac6bb6207bf1783f86cbf7cfc6fe06648c6bc9']","[[{'highest_ratio': 0.9195876288659793, 'best_match_position': (101, 121)}], [{'highest_ratio': 0.9007529089664613, 'best_match_position': (101, 121)}]]",2,"[-3, -4]","['ba7135861e97495f6d14622005fab7087201a655', 'ccac6bb6207bf1783f86cbf7cfc6fe06648c6bc9']","[[{'highest_ratio': 0.9195876288659793, 'best_match_position': (101, 121)}], [{'highest_ratio': 0.9007529089664613, 'best_match_position': (101, 121)}]]",0,[],[],[],2649,1969,2734,132,52,35,6.4,135,1564,16,15,59.0,0,0,700,5664,9.6,415,250,3.14,1.89,22,17,0,0,0,1,15.0,3,0,0,0,0.0,11,11,2.2,3,0,3.0,0.0,,,,0,0
24,DungeonBattlesOfWinterspell,2023-10-22 19:53:52,C++,,0,0,0,1,90,C++,9,generated by chatgpt,DungeonBattlesOfWinterspell\13cc38da7b730d2e3bd87a2393a61beabae73c78\DungeonBattlesOfWinterspellCpp\DungeonGenerator.h,DungeonBattlesOfWinterspell\720169d62b90f6dd94c2144450a8fc5fd7a39d86\DungeonBattlesOfWinterspellCpp\DungeonGenerator.h,file,,13,"[1,28]",28,,,,,,,9,8,"[-2, -3, -4, -5, -6, -7, -8, -9]","['6ebd0ba2d3fdbc2d530a97160435d53477518369', '11030b00117cdf8aa10f37f1310e2d7420a2b8f7', 'fe112df6b841ce43a46d151e7820d9fe01ebe2ca', '134ff5ca3fa35b045dd9a9bb27942e034f8508e9', '22ba621144f1f49316c548fb337c35b9b515d53c', '228bec7d20f0ee6ddc79710467d2b102def7aedf', 'd84ef8a7f1d9fd9a127df82bc50ea2cbd1f7ac23', '720169d62b90f6dd94c2144450a8fc5fd7a39d86']","[[{'highest_ratio': 0.9963459196102314, 'best_match_position': (1, 28)}], [{'highest_ratio': 0.9824982841455044, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9808153477218226, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9796337497860688, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9823236656941823, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9814560439560439, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9807824296499656, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9665201217450118, 'best_match_position': (1, 31)}]]",8,"[-2, -3, -4, -5, -6, -7, -8, -9]","['6ebd0ba2d3fdbc2d530a97160435d53477518369', '11030b00117cdf8aa10f37f1310e2d7420a2b8f7', 'fe112df6b841ce43a46d151e7820d9fe01ebe2ca', '134ff5ca3fa35b045dd9a9bb27942e034f8508e9', '22ba621144f1f49316c548fb337c35b9b515d53c', '228bec7d20f0ee6ddc79710467d2b102def7aedf', 'd84ef8a7f1d9fd9a127df82bc50ea2cbd1f7ac23', '720169d62b90f6dd94c2144450a8fc5fd7a39d86']","[[{'highest_ratio': 0.9963459196102314, 'best_match_position': (1, 28)}], [{'highest_ratio': 0.9824982841455044, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9808153477218226, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9796337497860688, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9823236656941823, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9814560439560439, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9807824296499656, 'best_match_position': (1, 30)}], [{'highest_ratio': 0.9665201217450118, 'best_match_position': (1, 31)}]]",1,[-6],['22ba621144f1f49316c548fb337c35b9b515d53c'],"[[{'highest_ratio': 0.9823236656941823, 'best_match_position': (1, 30)}]]",2771,1898,1127,291,39,50,5.4,109,551,6,3,19.9,0,0,540,4321,7.6,409,189,1.41,0.65,28,19,0,0,1,1,5.0,1,0,0,0,0.0,16,83,14.6,0,0,0.0,0.0,,,,0,0
25,Breakout,2023-08-02 16:38:05,C++,,0,0,0,1,50,C++,92,generated by chatgpt,Breakout\a207e8fbf15929326b3346bbd76e43a859ab7cef\src\model_simulator_breakout.cpp,,method,,0,"[[96,98],[101,108]]",11,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],833,540,262,65,9,15,17.6,115,0,0,0,0.0,0,0,171,1452,9.0,127,93,1.95,1.43,13,11,7,2,0,1,0.0,0,0,0,0,0.0,8,44,13.3,3,1,1.5,0.5,,,,0,0
26,ChromeHelper,2024-01-14 18:26:44,C++,,0,0,0,1,6,C++,1,generated by chatgpt,ChromeHelper\881891c04a3ff00e7b732cb4f44178e12cbf9559\src\ZLibHelper.hpp,,file,,1,"[1,77]",77,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],17294,2474,684,134,40,38,52.0,2681,62,2,1,0.4,0,0,855,5679,7.7,297,216,2.22,1.61,77,52,48,2,0,1,1.9,1,0,0,0,0.0,5,101,6.5,8,8,4.0,4.0,,,,0,0
29,AOJ,2023-03-08 08:14:50,C++,,0,0,0,1,14,C++,27,generated by chatgpt,AOJ\94f986991a57219ea2860ac8cf7992274b68db61\alds1\1d.cpp,,file,,0,"[1,28]",28,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],470,341,253,28,0,28,8.8,33,0,0,0,0.0,0,0,116,671,6.6,71,63,2.54,2.25,28,17,14,1,0,1,5.6,1,0,0,0,0.0,3,27,5.3,3,2,3.0,2.0,,,,0,0
31,plsa-gpu,2023-04-17 13:32:46,C++,,1,0,0,1,33,C++,36,generated by chatgpt,plsa-gpu\141a9d07a72e544508d9e1e29a9298302f29f05b\stage4_cpu_postprocessing.cpp,,method,,4,"[[37,65],[68,79]]",41,,,,,,,2,0,[],[],[],0,[],[],[],0,[],[],[],1366,734,594,36,4,13,21.1,196,0,0,0,0.0,0,0,134,1413,6.4,126,144,3.5,4.0,43,28,24,2,0,1,9.7,3,0,0,0,0.0,8,64,7.6,5,3,2.5,1.5,,,,0,0
33,adds-assignment7,2023-05-15 01:49:32,C++,,0,0,0,1,2,C++,39,generated by chatgpt,adds-assignment7\5f4e669911fb37738986a0eab42576aadb9ea8f6\main.cpp,adds-assignment7\0239138431de6984368bbf362ae0ee366fe01937\main.cpp,file,,1,"[1,39]",39,,,,,,,2,1,[-2],['0239138431de6984368bbf362ae0ee366fe01937'],"[[{'highest_ratio': 0.6202898550724638, 'best_match_position': (1, 50)}]]",1,[-2],['0239138431de6984368bbf362ae0ee366fe01937'],"[[{'highest_ratio': 0.6202898550724638, 'best_match_position': (1, 50)}]]",1,[-2],['0239138431de6984368bbf362ae0ee366fe01937'],"[[{'highest_ratio': 0.6202898550724638, 'best_match_position': (1, 50)}]]",125,79,52,6,2,3,1.3,1,0,0,0,0.0,0,0,21,187,7.9,16,12,2.67,2.0,39,28,26,1,0,1,3.4,1,0,0,0,0.0,4,50,6.0,5,4,5.0,4.0,,,,0,0
35,GestorDeBaseDeDatos,2023-06-27 19:22:58,C++,2,0,0,0,1,5,C++,1,generated by chatgpt,GestorDeBaseDeDatos\db9236ab7ab51f07d898ada4b57c3c5c2743abf2\main_remove.cpp,,file,,0,"[1,382]",382,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],3966,3062,1691,240,30,37,6.7,221,713,12,6,18.0,0,0,612,6121,6.7,587,568,2.45,2.37,382,330,205,19,2,1,3.2,11,0,0,0,0.0,20,533,5.4,65,70,3.42,3.68,,,,0,0
36,4-connect-4-languages,2024-01-07 03:20:11,C++,,0,0,0,1,5,C++,1,generated by chatgpt,4-connect-4-languages\60d34d6ef7a079f8249af7462741d33dee7c4b01\four-connect.cpp,,file,,0,"[1,147]",147,,,,,,,1,0,[],[],[],0,[],[],[],0,[],[],[],147,123,97,7,0,1,6.8,9,0,0,0,0.0,0,0,10,199,5.4,37,74,5.29,10.57,147,123,97,7,0,1,6.8,9,0,0,0,0.0,10,199,5.4,37,74,5.29,10.57,,,,0,0
