path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
bsl-plotter\45495103d4707616c7f2368b3953a7675237807b\catkin_ws\src\plotter_controller\src\control_arm.py,14,written by chatgpt,file,"[1,130]",,
pypatchy\16897095606bb2884765cc207c550655e5a65b30\pypatchy\structure.py,116,written by chatgpt,no code,,,
VMR_to_BlastDB\e47a168abdee5f53b5316c3e5fa1b3c9878db7a1\merge_blast_hsps_overlapped.py,8,written by chatgpt,file,"[1,89]",,
visual_graph_datasets\8b98d9d4005ba97e83037b5a5cb4edd989106d91\visual_graph_datasets\util.py,233,written by chatgpt,method,"[228,252]",,
testelegoocar\bc223861d21a9a4f8700420304966d00b3a87d8d\Final_UI_Code\UI_Prototype.py,1,written by chatgpt,file,"[1,136]",,
merge-queue-test\89aa3a3b2f4e58193a3209d9d2457d951382ef0c\scripts\align-import.py,3,written by chatgpt,file,"[1,62]",,
mathlib4\8717536ada899eef0d544981be88c22f7de141d9\scripts\align-import.py,3,written by chatgpt,file,"[1,62]",,
robot_ml_rl_nlp_homework\a9d29fe5412e4a4b83a40c1fb1ae3535033f2cbe\scripts\align-import.py,3,written by chatgpt,file,"[1,62]",,
LLM_CB2\761f554cd9cd7e055d6e9c0517b63000019f7664\src\cb2game\server\util.py,194,written by chatgpt,class,"[198,237]",,
anime_screenshot_pipeline\81792f215048282e87f2086f767843dd1a1cd258\scripts_v1\arrange_folder.py,171,written by chatgpt,method,"[172,184]",,
web-mit-public\95604408158ee62d72348ac24b99f0deee119cb0\add-files-by-date.py,3,written by chatgpt,file,"[1,64]",,
qaap\4db7ec8d6a03f6acd0ff4dcf4b0615089d809e94\utils.py,54,written by chatgpt,statement,"[55,55]",,regular expression
jamesjarvis.io\3f0e32778e8c423d2c02cbaac940cfbdfda9a490\content\posts\year-of-books\goodreads-export.py,2,written by chatgpt,file,"[1,58]",,
CFK_Delete_Python\8f5ef0df4ab0a9af0b7ba178919200819eb18801\authentication.py,9,written by chatgpt,file,"[1,33]",,
pwndbg-gui\a6515c8f4bb0994a78520c4eb47c4ab1d0ac6274\gui\constants.py,12,written by chatgpt,statement,"[13,29]",,input
StreamStyle\19145741cf7513457c78bf51d72d50da4515f44f\main.py,108,written by chatgpt,no code,,,
stock-gpt\fed6af742a8c2577fde5cc83b5136b0ce3a8528a\src\stock_indicators\indicator_impl.py,17,written by chatgpt,file,"[1,211]",,
enph353_competition_controller\2df92e0d7a28f339998c2d54d6b8ff0483adb3ae\image_testing\chat_gpt_script.py,5,written by chatgpt,file,"[1,48]",,
experimental\a57e848a9ecad1f80bdd774810effef3ac4586bd\html_convert\html_convert.py,4,written by chatgpt,file,"[1,65]",,
pypatchy\16897095606bb2884765cc207c550655e5a65b30\pypatchy\design\solve_utils.py,129,written by chatgpt,method,"[[127,187],[440,463]]",,
proof-buddy\34b6921424170f309d7febdaf08016bf8b9cf5eb\proofchecker\proofs\ERtrees.py,12,written by chatgpt,method,"[13,18]",,
WM9A4-Digital-Development-with-Python\67907a0e7f78729083fa6055cf367dba6a0c8f04\10 practice questions\word_filter.py,43,written by chatgpt,statement,"[41,41]",,regular expression
riddle_me_this\0c91442abe79e3b6715408abd8114c97c7954858\network demo\demo_networks.py,343,written by chatgpt,no code,,,
CubicalPersistentHomology\3f038144ec28995623df42ba256564a9b5d036bb\sage_utility.py,351,written by chatgpt,method,"[349,390]",,
detect_llm\c5445d365d39aad9904cf6aa5ad2de3ba2fd3be7\amys_code\survey1.py,252,written by chatgpt,no code,,,
drl_swarm\1627f1a6b995935bd37f5b198b5b613fe59fbd29\data_analysis\data_analysis_scripts\measure_distances.py,4,written by chatgpt,file,"[1,92]",,
spgrid\ef6f1c534786d08a87d7723b6a5580928efe0502\scripts\local\auto_download_gui.py,718,written by chatgpt,statement,"[719,724]",,regular expression
pyPhoPlaceCellAnalysis\e67d900abc57a8f9bed2cb85c2bac9311cfcad5a\src\pyphoplacecellanalysis\General\Model\Configs\LongShortDisplayConfig.py,31,written by chatgpt,file,"[1,103]",,
pollyanna\fb4733b93e02b452677fa68089f3eca20231ca96\default\template\python\script\chain_log_verify.py,4,written by chatgpt,file,"[1,36]",,
FRC-MatchBot\7e618246256c651fcef7dc303c81ddb4a61e6a4b\utils.py,115,written by chatgpt,method,"[116,130]",,
magnetmania\8340a180fd85820dd1f0e4acb2b8d14bc6c94b76\utils.py,4,written by chatgpt,statement,"[5,10]",,regular expression
Facial_Expressions_Impact_3DFR\9fab644a538bed6d2b96305a47fce2c1de0c34e7\src\src\src\utils.py,125,written by chatgpt,method,"[126,174]",,
experiments\4f260181f4cb947f9de4dd9ba596e8e26561cb67\german-law-journal-network\lib\kb.py,1,written by chatgpt,file,"[1,59]",,
experiments\4f260181f4cb947f9de4dd9ba596e8e26561cb67\german-law-journal-network\lib\wikidata.py,1,written by chatgpt,file,"[1,31]",,
micromouse\39e1f57907339064c83b2cd2eda2b95b0e09155a\virtual_micromouse.py,10,written by chatgpt,method,"[11,41]",,
hevelius-backend\6280db7620b20c5c513ce9e0a56821c8f0b2dac6\hevelius\utils.py,13,written by chatgpt,method,"[11,14]",,
anime_screenshot_pipeline\81792f215048282e87f2086f767843dd1a1cd258\scripts_v1\classifier_dataset_preparation\crop_and_make_dataset.py,31,written by chatgpt,method,"[32,60]",,
anime_screenshot_pipeline\81792f215048282e87f2086f767843dd1a1cd258\scripts_v1\subsidiary\classify_characters_ensemble.py,182,written by chatgpt,method,"[183,211]",,
image-preprocessing-pipeline\ad49cc57062f1a30dcd9da2332f9a49dec205b37\align_images.py,26,written by chatgpt,method,"[27,36]",,
CFK_Delete_Python\a522c35a62d43e8c7b6269aa2d4d6265ecaf79c5\CFKrestore_subprocess.py,35,written by chatgpt,method,"[[41,59],[125,137]]",,
CFK_Delete_Python\8f5ef0df4ab0a9af0b7ba178919200819eb18801\CFKdownload_subprocesses.py,128,written by chatgpt,method,"[133,147]",,
pypatchy\537ee2a3d6abd95ff216c7e92337967b7c4d9bda\pypatchy\design\design_rule.py,745,written by chatgpt,statement,"[748,748]",,
hevelius-backend\302289862ed2fcb07b6d09f9a5330a17b815bc61\tests\test_utils.py,10,written by chatgpt,method,"[11,34]",test code,
zTournamentSorter\170d5aa0d22cd0d22e5d6d87d06e892b05f3ff15\experiments\temperature_check_test.py,1,written by chatgpt,file,"[1,22]",,
netbeansPython\21fefd66851624a3dd19abdb69f575526ab5c7e3\src\main\resources\org\netbeans\modules\python\nb_test_runner.py,72,written by chatgpt,method,"[69,86]",,
buha\ae3443d61f9266870097a470f508e2955d15de07\tests\test_login.py,217,written by chatgpt,method,"[216,265]",test code,
Sketch-In-Context-Sp2024\8810fd934acdb23b6da6b1228c1df8dbdac646a8\test.py,18,written by chatgpt,method,"[19,37]",,
studentPythonStuff\9d031fc9df2bc1352054d1b2295a64951aa5581d\geneticAlgo.py,1,written by chatgpt,file,"[1,55]",,
maybe_not_the_last_letter\4af6dcbc2e9ffd0a80d3f10a3f1c3fe49f096b2c\game\python-packages\donut.py,4,written by chatgpt,file,"[1,67]",,
anime_screenshot_pipeline\81792f215048282e87f2086f767843dd1a1cd258\scripts_v1\subsidiary\classify_characters_advanced.py,111,written by chatgpt,method,"[112,140]",,
Deep-EIoU\ec03fc2cf36bae7281ebc05f597811930d81df2a\Deep-EIoU\tools\sport_interpolation.py,55,written by chatgpt,statement,"[56,60]",,
BDSN\6fa9d9873306ce1c513f9de817b76c6a27c2ec0e\SparkStreamingUtils\StreamRelay2.py,2,written by chatgpt,file,"[1,59]",,
bookworm\9b4408b8d14546b5590e2e3ccb21e40ca0c8e954\tokenlimiter.py,4,written by chatgpt,class,"[5,37]",,
allemande\15672b243be48194a9d68c98740e9de4d04ee02e\demos\llm-coding\random_password.py,3,written by chatgpt,file,"[1,18]",,
mod_directory\7c752ed9fa3b866b62636f7fa150402c0d5d5d02\JSON_img_encode.py,3,written by chatgpt,file,"[1,22]",,
nyt-sudoku\baa6c326efb0ea6f45b572f09856d20906541e52\data-analysis\get_candidates.py,4,written by chatgpt,file,"[1,35]",,
winget-script-creator\688a9c99a0f97bfbed1a620b26529189316059dd\src\main.py,1,written by chatgpt,file,"[1,31]",,
using_chatgpt_kedro_streamlit_app\982dc35d438565ea0bbc75a29ad43c6ffc5224a7\src\crypto_fc\data.py,50,written by chatgpt,method,"[49,54]",,
guarantees-based-mechanistic-interpretability\bc999acd93d093d66fd1b9b1c840a01f71179dd3\gbmi\utils\__init__.py,245,written by chatgpt,statement,"[247,295]",,
CC2Corpus\bafb3b513475f8434ce2ca697da735df66614bb1\clean\process_wet_file.py,118,written by chatgpt,method,"[116,146]",,
ENSF338lab1\e7f8a0c4bfe2bca09fbbaf351d46a46519c86a0e\Lab 1\ex2.3.py,1,written by chatgpt,file,"[1,29]",,
snapjax\fcafd9fb521fcba1144db4e0f66e2220749e05f4\snapjax\mlops.py,5,written by chatgpt,file,"[1,92]",,
detect_llm\c5445d365d39aad9904cf6aa5ad2de3ba2fd3be7\amys_code\survey3.py,123,written by chatgpt,no code,,,
mat276ia-allolib-playground-f23\ce70310aadee54f789cf999e64c2b60b3bf5d26f\tutorials\allolib-f23\get_earthquakes.py,1,written by chatgpt,file,"[1,77]",,
pyamihtml\2664d6cf2bff896ca54fe655ae17e324d7570e40\pyamihtmlx\ipcc.py,1426,written by chatgpt,method,"[1423,1452]",,
CFK_Delete_Python\007b8d8d2f8c1fd880440c0f95ca19de6f6ba89c\CFKdelete_subprocess.py,24,written by chatgpt,method,"[30,47]",,
ATM\570384434060755cb12dbbce0da97d11ed60fc53\AM_Gyms\DroneInCorridor.py,68,written by chatgpt,method,"[66,82]",,
tidytuesday\2125bb82f911c62829e8c288e299147dc7218b1d\2023\week-47-nov-2023-r-ladies\analysis\keywords.py,2,written by chatgpt,file,"[1,78]",,
AEpy\fcdba58422946ab99a5258a9ee06d7353def7e85\AEpy\mag_reader.py,12,written by chatgpt,method,"[11,46]",,
NeuralNetwork\b417f7bdc705aac6ee4226674a908a7d403ee8bb\TorchMNIST.py,125,written by chatgpt,no code,,,
Cascade\92e3d32a8201107c1c75477a20cd4c21592dd182\Analysis\ExperimentSetup.py,81,written by chatgpt,method,"[82,115]",,
Pygame-Tetris\5e3032fc85b2f58ae787a314c5ef6c3f859b273b\Tetris.py,725,written by chatgpt,method,"[726,742]",,
Deep-Learning-Project\993ae1ef77ec317fd8ab7e6686b5e66a3db0fdad\src\trainers\cnn_trainer.py,11,written by chatgpt,file,"[1,249]",,
OCR-ensemble\95a327b1b3614806e66bff24d867aba443d7766d\ocr_ensemble\proposers\utils.py,41,written by chatgpt,method,"[39,66]",,
testelegoocar\2c33ec2b47b4efb17520a1a37b59f36c745077d4\Updated_UI_Code_Latest\UI_Prototype.py,1,written by chatgpt,file,"[1,136]",,
Pizza-Game\f83d0e6918c400e5497983e2586aeb8c4c90898a\pizza_game.py,343,written by chatgpt,method,"[344,349]",,
clairecjs_bat\711d36e155ab2cf889962e9267f054cca10c425a\BAT-and-UTIL-files\ingest_youtube_album.py,326,written by chatgpt,statement,"[316,327]",,
letter_number_clf_CSC3995\f2e18902253828d0d3106e3799c5242c1a2b6ddb\src\preprocess\data_retrieval.py,5,written by chatgpt,file,"[1,54]",,
Programming\065b625d489dc21248569f9af98e4c7f8502df7e\AP-Comp-Codes\04242023 Data Science\Lesson 3\crash.py,11,written by chatgpt,method,"[7,21]",,
AIGenerated\46fe66c21199074ed12f5bb393380b0a16ab04d4\MasterMindAI\qAgentLearnsMastermind.py,1,written by chatgpt,file,"[1,123]",,
joplen_mlsp2024\4fb02019e8976baab5c54b4d7ab3d17eb357e971\experiments\nn.py,1,written by chatgpt,file,"[1,111]",,
monophobia-server\531d603630b665547a9ddddea02dc63739e1cda1\main.py,47,written by chatgpt,method,"[48,67]",,
CS330_MOT\6a04b2bf7e28892fa9a59f1757d2870d56cac34c\Deep-EIoU\Deep-EIoU\tools\sport_interpolation.py,56,written by chatgpt,statement,"[57,61]",,
medium-archive-image-downloader\32d7d431f48ec1e643a285034f18c111039c9fbb\medium-archive-image-downloader.py,1,written by chatgpt,file,"[1,102]",,
rnaseq_tools\b41ca6813cad0c621c47e774f2fa5162006bdc82\scripts\annotation\find_closest_gene.py,3,written by chatgpt,file,"[1,96]",,
Google-Foobar\0260d40a142b06a301907eec6b07f225be6f59d2\Level 4\free-the-bunny-workers\solution.py,81,written by chatgpt,statement,"[82,134]",,input
pypatchy\16897095606bb2884765cc207c550655e5a65b30\pypatchy\design\design_yield.py,728,written by chatgpt,method,"[726,761]",,
SuperPlug\2d084805b8c90a06d143603ba64b35a4fba129af\SuperPlug\custom_backend.py,8,written by chatgpt,file,"[1,739]",,
hail\07c49306a96c5fe6620f16307ba70dd2d08f628c\hail\python\test\hail\expr\test_functions.py,91,written by chatgpt,no code,,,
pyPhoPlaceCellAnalysis\21eb1f900fb59b7fc458a391135250dba3deec78\tests\test_HDF5_functions.py,10,written by chatgpt,file,"[1,44]",test code,
HD_19467_B\0e1148c8a54f90db21c78424b63a1d1e0bcb965b\test_cov.py,3,written by chatgpt,file,"[1,37]",,
ChatGPT-Live\1376eaf487de8c3c07188aa8c3bdcbd95f6ccd54\run_tests.py,3,written by chatgpt,file,"[1,50]",,
Fragmented\84aa0d8cfc9af1623cb9edb3d541eac39ec47d10\renpy-8.1.3-sdk\Fragmented\game\test_combat_281.py,67,written by chatgpt,method,"[67,80]",,
yeastdnnexplorer\a72d07497d795ca09a71e98938df2ab0aeab4228\tests\test_verify_gpu.py,10,written by chatgpt,file,"[1,34]",test code,
eiriniallolib\ce70310aadee54f789cf999e64c2b60b3bf5d26f\tutorials\allolib-f23\get_earthquakes.py,1,written by chatgpt,file,"[1,77]",,
hpc-intro\2d4ce2596143edad556e207c3262fc1f9b5254db\course_files\scripts\sir_simulator.py,2,written by chatgpt,file,"[1,56]",,
teacup_archive\dd62e8d31d53832949a7fdcc9792cbc63c6ac9d7\functions\v1.py,78,written by chatgpt,statement,"[80,90]",,input
valorant_dataset_downloader\50990881bad6cf24ce5ecf1536df361d1d5b1cbb\database_classes.py,48,written by chatgpt,class,"[50,70]",,
pacosako\884fed93add10bd49370ca513c9c580a44d579b9\backend\src\test\hist.py,1,written by chatgpt,file,"[1,51]",,
python-101\324f197529b74ea5f388a7fe3ce9591322d6a37c\name.py,5,written by copilot,no code,,,
bookbot\87a48d80dc48afbd2535ebce022203ccd2c7d656\main.py,37,written by copilot,statement,"[38,44]",,
OxPhysCopiliot\c20644a0df74671de131be0ac56cdf098b8c4804\utils.py,17,written by copilot,method,"[15,24]",,
PlatformGame\aa85999081ed8d975014df495ebfbf9331aba225\utils\scene_manager.py,2,written by copilot,file,"[1,45]",,
CS131\706bfa87cc3109c4d6461e5c42d9a7ff664f5a0c\Project 1\interpreterv1.py,47,written by copilot,statement,"[[48,51],[59,60]]",,
SHRA-Groningen-chaintools\57c88e8b6059aa3eb88c7b3bfdd0e1cdd4010e2c\chaintools\tools_grid.py,182,written by copilot,method,"[178,211]",,
