path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
design-patterns-with-python\e867611756b0651cf66f7506484de6e672c440cc\structural\bridge.py,9,created by chatgpt,no code,,,
design-patterns-with-python\84c2aee06cacbdb280fa270b5b24dbda474c0c7e\behavioral\state.py,14,created by chatgpt,no code,,,
design-patterns-with-python\5ec29cb7d3c57e4fca5c4650121cee5ccf960a6a\behavioral\command.py,9,created by chatgpt,no code,,,
pytango-moenchZmqServer\d982cb4ec31077f3904334e9ca8554150e6c5fe1\tangods_moenchzmq\util_funcs\parsers.py,13,created by chatgpt,statement,"[14,14]",,regular expression
design-patterns-with-python\f3c3b13b46121b26b7d5feae1be04cda86c0cb9d\behavioral\template_method.py,10,created by chatgpt,no code,,,
design-patterns-with-python\f4140341226157732065ab2f751ad9bf94e98176\structural\facade.py,8,created by chatgpt,no code,,,
design-patterns-with-python\f4438f25a602028f321fd678a5b46227f2f189a3\behavioral\iterator.py,9,created by chatgpt,no code,,,
design-patterns-with-python\9a429a72a177871c43b9f4b4df455fc85120f91c\creational\singleton.py,15,created by chatgpt,no code,,,
design-patterns-with-python\e867611756b0651cf66f7506484de6e672c440cc\structural\composite.py,8,created by chatgpt,no code,,,
socket-programming-with-python\4a3f3d41076b3228cd54d2152fc178b58ae506a8\client.py,7,created by chatgpt,no code,,,
CYFTLE\2cfe53976418b0e080e430b76ce8851d8196f5ea\backend\app\translate\translation.py,39,created by chatgpt,statement,"[40,41]",,
2800-202310-BBY01\7cdbdc4756bda996b2535cca5fa55a31219cc18d\server\PnCGenerator\FoodNutrition2.py,8,created by chatgpt,file,"[1,39]",,
design-patterns-with-python\9a429a72a177871c43b9f4b4df455fc85120f91c\creational\factory_method.py,7,created by chatgpt,no code,,,
socket-programming-with-python\7dcf148ec273fbcad0bd401daec9d68b0867f083\server.py,7,created by chatgpt,no code,,,
offensive_language_identification\ffeb3a74f5a3b85c2e840fbc3fce1ffb31404e23\src\features.py,250,created by chatgpt,method,"[243,271]",,
ScrabbleAI\22680d83ea3b00d7afcfa932ce13e9d0d77c27c4\settings.py,2,created by chatgpt,file,"[1,39]",,
demos-python\b0d26746c4a64930c79a12b3d78f5a4bf2ee6731\src\examples\short\apps\make_video_snippet\create_with_iobase.py,5,created by chatgpt,file,"[1,91]",,
parallel-programming-with-python\d4b8849645f95bf8b6388a475d2267cc95ae4f8f\multiprocessing_tutorial.py,8,created by chatgpt,no code,,,
design-patterns-with-python\5ec29cb7d3c57e4fca5c4650121cee5ccf960a6a\behavioral\chain_of_responsibility.py,15,created by chatgpt,no code,,,
hangman-2\8747b95ac8759cd161e92a3a4c4629619dcb416e\text_assets.py,236,created by chatgpt,no code,,,
parallel-programming-with-python\d4b8849645f95bf8b6388a475d2267cc95ae4f8f\threading_tutorial.py,9,created by chatgpt,no code,,,
saitamatechnocloud\d8d35536dc907445359309d57f11e546e220aead\chatGPT\flask1_original.py,1,created by chatgpt,file,"[1,62]",,
open-ai-test\b87202b2afdfe65bedde85176c8749ad61ea9c88\online_shop_test.py,35,created by chatgpt,method,"[36,158]",,
EAB_tools\3996dfe9abe3b9202bc51ed5a46b6f366edcef71\EAB_tools\_testing\test_scripts\generate_fake_enrollments.py,2,created by chatgpt,file,"[1,836]",,
Chatplify\a1b3a4b843bb41da87a40a45c3f3bae012dff6da\chatgptify.py,120,created by chatgpt,no code,,,
website-2024\252065dd22d32491fb30866fac26c7125f433d3c\static\python-scripts\poster_filter.py,1,created by chatgpt,file,"[1,40]",,
app\dcbe8b438921b944dafb490d16b89e3f5ddc199b\openapi-to-dart.py,2,created by gpt4,file,"[1,164]",,
arlatentsde\9bc04650e65d2699ce79f9ccb3a00d7d027131c5\tests\test_data.py,2,created by gpt4,no code,,,
