path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
wppGroupMembers\8685c8ad4ed03a8f6c4b313717c0aa870a8678b2\src\main.user.js,24,generated by chatgpt,method,"[30,74]",,
DEVOPSCW\2f4986d65f54073fe9e6e5d0b17a094630843946\wardmodule\createwards.js,2,generated by chatgpt,file,"[1,133]",,
P2MANvsMACHINE\6c5672735fc08e48d4d7e3845008a0ffa57e0d0a\assets\js\tic-tac-toe.js,22,generated by chatgpt,method,"[24,37]",,
2024-S-GROUP4-SMTK\d1390b06d73d52e0fda2ee525745990aedc22b6a\small-talk\app\components\moviesPage\MovieCard.js,2,generated by chatgpt,no code,,,
demos\c8b9b51e39a76af81cc106cb61a2bc89e7803301\client\contrib\zdf\comment.js,180,generated by chatgpt,no code,,,
Bing-Chat-History\e84e3bded63150d605bba6647572445f0116eeff\src\content-scripts\utility.js,5,generated by chatgpt,method,"[[5,9],[11,20]]",,
kanban-main\ec342e96247f72a607c45f22f2ce51df728dc45a\js\kanban.js,224,generated by chatgpt,no code,,,
memory_game\47a81aaca8659296710ce620a860143a653ab310\assets\js\script.js,2,generated by chatgpt,file,"[1,37]",,
React_Project_for_course\17f59a2b4c26ec755a58f40ea0bfaf518f4a5057\src\Components\Structure\About.js,11,generated by chatgpt,no code,,,
pick-your-poison\544f9a6108876a22389073f26dc4a5d4f22b0c33\assets\js\game.js,35,generated by chatgpt,statement,"[36,263]",,input
GoogleSnakePudding\0ab6cfd5aa6f080c286b84da9ba6fa315db4fabc\ChimeraMod.js,2839,generated by chatgpt,method,"[2840,2872]",,regular expression
OA\10e3b84569d5a1665fa811e3727313904d4fd335\web\src\pages\userModule\loginPage\index.jsx,1,generated by chatgpt,file,"[1,61]",,
jsq2-game-frontend\e295c01af493913ac7e4b26689375d69976a25ff\app\utils\howToPlayData.js,49,generated by chatgpt,no code,,,
Using-Konduktiva-With-MIDI\94908d0d20eb0345457fe9275fec534ce0756330\konduktiva-revised-2.js,129,generated by chatgpt,method,"[[130,135],[175,183]]",,
folder-structure-generator\2997f4b09b425f1844d5ce9c60126087ad1641bd\helpers\createStructure.js,49,generated by chatgpt,no code,,,
Layla-wheel\fd7184bffce25df8ba028c09892cc98fc133e19b\src\wheelEditorFunctions.js,299,generated by chatgpt,method,"[300,322]",,
Using-Konduktiva-With-MIDI\dbb39f39670ffae329b1cce77ed641f9ef758710\example-melodies-data.js,290,generated with chatgpt,method,"[291,304]",,
acsense-tcd\730cc723b81283d3dc791a27c5adde0146e33c5c\acsense-tcd\composables\sortArrayOfObjectsByKey.js,10,generated by chatgpt,file,"[1,34]",,
zaharen.co\93c96811aa1b9c6ea2d6733d8cb4477a015a72ba\src\Landing.jsx,249,generated by chatgpt,no code,,,
KV6002-Research-Recruitment-Solution\f5166e15e111f085ac8c856d1eb902623e06328e\front\src\components\ViewStudiesParticipant\StudyDetails.jsx,2,generated by chatgpt,no code,,,
14828\8814e626417a24b7eede3f1502ebec9e5a95b19c\crawler\greasyfork_scripts\260.js,19,generated by chatgpt,file,"[1,281]",,
ruffle\6a94ec42bd9ad89ab68e1e57b94e8e3b125a81a4\js\tab_cloak.js,5,generated by chatgpt,file,"[1,24]",,
Visionairy-Deliverable-Code\6ce2ea68fcf1a336e7ed743e8b7a4c1830dc9a2b\node_server\Visionairy-Server.js,220,generated by chatgpt,no code,,,
atlasaiteam\8ceb992d070387beadd108e83f03e8a53fd598f1\spotlight-web-app\src\server\main-client.js,193,generated by chatgpt,no code,,,
Bing-Chat-History\a9b013bc573b42d867b0ad23e884928947a0c167\src\pages\js\utility.js,44,generated by chatgpt,method,"[[44,48],[50,59],[61,75]]",,
learner.ai\2ea6434ebbdc3892cc639f16d1d8396be1348413\components\ProfQuiz.js,149,generated by chatgpt,no code,,,
acm-fish\7e985493411a046eddd249394e7b554708072cc2\foish.js,257,generated by chatgpt,method,"[258,273]",,
parago_admin\1d0b1e3c3d1ed540d2ec1e04a26d0a7908c41914\api\controllers\event.js,455,generated by chatgpt,no code,,,
marccent\62e9aa06db2977a776348572768a29c2e023e1ab\client\src\components\mini-app\numpuz.js,187,generated by chatgpt,no code,,,
PSA-LP-Generator-Front-End-Code\0ff51c92a03cf196ee0c63dcc3fedd61b70077f0\src\pages\Create copy.jsx,402,generated by chatgpt,no code,,,
AIReviewGameGenerator\7da7a7aa2a8384e203b0349c32c79840991b49b6\testdata.gs,2,generated by chatgpt,statement,"[1,190]",,input
parago_admin\ec617872a6c887f0e541e869ec621dc7a5b0b672\src\pages\Itineraries\Itineraries.jsx,233,generated by chatgpt,no code,,,
project-flashback_f\d1d92c52e9f0cdc2db895eaf20c30700c87aeb8c\src\phase2Script.js,3,generated by chatgpt,file,"[1,276]",,
enem\4e20620b4ea461b2f9d3f3992ae4a2b946a6ff7e\js\main.js,227,generated by chatgpt,method,"[228,283]",,
wikiweaver\59c52f8f5cf4699017fd1107009bce10c433df3b\wikiweaver-web\js\index.js,55,generated by chatgpt,method,"[54,75]",,
pariwise_survey\0a19f184ce750341185d8c0a6eada6f29515fcbb\js\elo.js,177,generated by chatgpt,method,"[180,240]",,
AI-Audits-main\b4e9be358248f189d64908170186665c024850c7\src\data\Data.jsx,206,generated by chatgpt,no code,,,
simple-blocker\background.js,-1,,,,,
QuizGame\414d914a2c0d12bde01f6cee77caf8444be07b58\models\jQuestions.js,15,generated by chatgpt,no code,,,
MixShop\bfe8d60c02873010ff33aed5f4d16ccc27b400eb\modules\chatgptcontentgenerator\views\js\admin.forms.js,69,generated by chatgpt,no code,,,
libresprite-extensions\dfd82d80fa0512f60fb423d304f8790dad32e96b\src\lib\hsl.mjs,1,generated by chatgpt,file,"[1,85]",,
tic-tac-toe\6474d5146cca484b2a7b1777aabbc28786ae44fe\logic.js,32,generated by chatgpt,method,"[[33,88],[92,142]]",,
knit-gen-ai\26a4e19418537feb43d34b4b3fd3edd6d7cb3882\client\src\SearchResults.js,19,generated by chatgpt,no code,,,
eslint-config\e7a3bf385408a58f17e8882ab71ded3e673b7908\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,79]",,
car-sale-application\febda6d105bef8a7e9e081b7045dd37c750489c7\react_frontend\src\components\HomeComponent.jsx,29,generated by chatgpt,no code,,,
eslint-config\e7a3bf385408a58f17e8882ab71ded3e673b7908\fixtures\output\js\javascript.js,1,generated by chatgpt,file,"[1,79]",,
eslint-config\e7a3bf385408a58f17e8882ab71ded3e673b7908\fixtures\output\no-style\javascript.js,1,generated by chatgpt,file,"[1,79]",,
social-network-api\2f4bc3f372e9287f502141b6f730dc6adb27b695\utils\data.js,1,generated by chatgpt,statement,"[[2,43],[46,77],[80,101]]",,input
simple-blocker\c5fc6d404c95792c300cc285fcc84bae4eedec32\popup.js,1,generated by chatgpt,file,"[1,19]",,
NLP4HTML\8462a450b1cc5608e41acb8999638ea56bd9222d\node\show_images.js,1,generated by chatgpt,file,"[1,44]",,
career_companion\4a8ea0a787cd680ca1b79d97792d48ff6665e4a5\api\controllers\openaiController.js,68,generated by chatgpt,no code,,,
eslint-config\e7a3bf385408a58f17e8882ab71ded3e673b7908\fixtures\output\tab-double-quotes\javascript.js,1,generated by chatgpt,file,"[1,79]",,
GPT_Genius\4aa1fdf243935f6a752fe292423cd690320ece4b\app\layout.js,9,generated by chatgpt,no code,,,
infmape.github.io\02edf19849bc82a50eaf4b573ab2801df0ff8a1a\search.js,15,generated by chatgpt,file,"[1,31]",,
matsu-tech-blog\ac4c4479e9000c0a8d85bbd0d5df52aaa19d8939\seeds\commentSeeds.js,6,generated by chatgpt,statement,"[4,78]",,input
carbdown.github.io\cdc0cac24dc2ee633f5af2d98dbf2fe836153d76\src\pages\blogs\LabBlog.jsx,21,generated by chatgpt,no code,,,
IMSHelferchen\1eeb7bd1e620078019c67478c236b917d5604eeb\library.js,57,generated by chatgpt,no code,,,
matsu-tech-blog\ac4c4479e9000c0a8d85bbd0d5df52aaa19d8939\seeds\userSeeds.js,6,generated by chatgpt,statement,"[4,98]",,input
cheatGPT\83717436ffc1645f2c7ef53b9a15ae9e1c2c430a\src\pages\Proof\proof.js,15,generated by chatgpt,no code,,,
CarbonFootPrint_Capstone\56d243fb941cb70c2deee4903ad6d06cc09565af\app\reports\page.js,7,generated by chatgpt,file,"[1,123]",,
eslint-config\6c1e597bbd26234c1a62778c0e82f8ac9a77eaa4\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,62]",,
eslint-config\bc6d930c350dd9a0c8558d163f6ab02eb4d7685d\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\e1f56e3b5de64a02993af28082310fa3b862ea70\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,62]",,
eslint-config\422c8cc495e0c6b03455f02731f6bbcb22b110b9\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,72]",,
GURUBOT\1dac2e83aab54882affeff5d8e1e001873687a96\plugins\Openai.js,39,generated by chatgpt,no code,,,
Dark-Techno\2f8b2440639f33c8c52d1c3ac60f6844b0503232\plugins\ikratos-openai.js,39,generated by chatgpt,no code,,,
xgen\1db471709f1b9360ab7767aa5b364897d66d2141\plugins\xgenbot-openai.js,29,generated by chatgpt,no code,,,
oldsite\ae0a9d56d4c664a921eb47eca9f7e6a5a6e5845c\3kh0\js\tab_cloak.js,5,generated by chatgpt,file,"[1,24]",,
eslint-config\e7a3bf385408a58f17e8882ab71ded3e673b7908\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,79]",,
eslint-config\e7a3bf385408a58f17e8882ab71ded3e673b7908\fixtures\output\ts-override\javascript.js,1,generated by chatgpt,file,"[1,79]",,
eslint-config\e1f56e3b5de64a02993af28082310fa3b862ea70\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,63]",,
ChatGPT-ToolBox\4ecd61db427d16eab0eb88a43ab66678635f8dff\toolbox-raw.js,2,generated by chatgpt,file,"[1,259]",,
unitPlayground\7605bf010e8c643094a05a983f66973cbdb02803\src\lib\js\Range.js,1,generated by chatgpt,file,"[1,42]",,
evolution-game\815797bad4e8388873530f7ce72ada82546b1c8a\public\sources.js,8,generated by chatgpt,no code,,,
cmpm169\40faf2e333ea74478f59032e2b5ac4270835b232\experiment6\js\sketch.js,81,generated by chatgpt,no code,,,
VMST-Communication-Website\11e45d41d52100df49a4631dbbb8023635a6d890\server\seeders\seed.js,107,generated by chatgpt,method,"[112,147]",,
seb44_pre_029\f7bc90af796d7b20ba3e23c45c275e992a563d57\client\src\components\Aside.js,147,generated by chatgpt,no code,,,
SapienBenchmark\fbcf1bf95b047e9fed95c4c5c33aebe8e525d56d\Section_2\app\static\JS\typing.js,12,generated by chatgpt,statement,"[13,21]",,input
nc-news-front-end\f4e91c47d2fd2c048190ed4aac5118bdf153e332\src\utils\api.js,88,generated by chatgpt,no code,,,
GPT-Vault\b037c4accd7510dd2d4f66b2941511d5c4dc5d58\src\App.js,194,generated by chatgpt,no code,,,
plannter\c9272383054b53e78ceff54a446c365c9720144c\script.js,111,generated by chatgpt,statement,"[14,110]",,input
eslint-config\58262c65272c59b8069f73126eb9e6f009911779\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,69]",,
ElectronClassSchedule\599a1c59f3880057548633e9b3774b78defed0a4\js\index.js,1,generated by gpt4,file,"[1,143]",,
6ixplore\2b9c72585d191d7c08749bf4c1efd868e3cfd5a2\sixplore\backend\database.js,5,generated by chatgpt,file,"[1,143]",,
eslint-config\422c8cc495e0c6b03455f02731f6bbcb22b110b9\fixtures\output\tab-double-quotes\javascript.js,1,generated by chatgpt,file,"[1,72]",,
cleve\3bbe82d3d300498a21fd1d7d6ed19b6c01d5223e\cleve_frontend\src\components\Chat.js,24,generated by chatgpt,no code,,,
marccent\62e9aa06db2977a776348572768a29c2e023e1ab\client\src\components\inc\inc.js,159,generated by chatgpt,no code,,,
WTA2023Q2_FlappyBird\64efa4c68ed31c685d15953c82896f15acf3d8b4\scripts\script.js,604,generated by chatgpt,method,"[608,621]",,
Stochastic-Parrot\e817a47d76abac7f15a34f0b11dde8c2193981b8\packages\stochastic-parrot\src\lib\mastodon.mjs,140,generated by chatgpt,no code,,,
portfolio349\fcf5ea45e37568ff8cafd76ac49476c5e4fd48d6\src\components\Projects.js,26,generated by chatgpt,no code,,,
chit-chat-champion\ead85f2687dfffce2215a9f2b97a2989b311cab8\src\views\gameModes\gameModes.js,10,generated by chatgpt,no code,,,
ai-shirts-designer\137075fe934fa7bd709c4ecd5dad53f3a088e433\client\src\components\CustomButton.jsx,5,generated by chatgpt,statement,"[5, 5]",,
ubicomp_assign_2\e362bd3069ea1381f1d8a76b9a7a04cbcfeb61dc\Logic\Cheerleader.js,3,generated by chatgpt,statement,"[3, 4]",,input
programming_JS\ce6e3d5b426c1178f9fea0a03720823c05092ebf\06_week\objects\objects_2.js,19,generated by chatgpt,file,"[1,83]",,
lumina\c28ae107274c44a38647dc10663b04b883602e3f\lumina\src\components\editor.js,161,generated by chatgpt,statement,"[162,175]",,
eslint-config\3b74ad2a660340fff6117654c72acb1dfebc034f\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\16ee4a7443baf81d81482586aea921e06785d715\fixtures\output\js\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config-h21\5b7d1627fe6cbf4d24c0a5bb6b5e7452e2f0dfb0\fixtures\javascript.js,1,generated by chatgpt,file,"[1,72]",,
fmt\0a18a45f68476dbcd14c8daf0cd85af859e86c01\packages\eslint-config\fixtures\output\no-style\javascript.js,1,generated by chatgpt,file,"[1,71]",,
eslint-config\fe8372596da63e43b1db021d2e4d1634c5622d4f\eslint\fixtures\output\no-style\javascript.js,1,generated by chatgpt,file,"[1,62]",,
eslint-config\16ee4a7443baf81d81482586aea921e06785d715\fixtures\output\tab-double-quotes\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\c08e238d9d01b8b14c51a8de87d53e5f29807738\fixtures\output\tab-double-quotes\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\2c4796982ba87cdc84547de2eadcc26db26a9f32\fixtures\output\tab-double-quotes\javascript.js,1,generated by chatgpt,file,"[1,62]",,
userscripts\52819bfd70ba416c0dd69c37dee9f22f6cdc3c93\src\ChatGPT: Function Enhance.user.js,21,generated by chatgpt,,,,
carbdown.github.io\cdc0cac24dc2ee633f5af2d98dbf2fe836153d76\src\pages\blogs\SensorBlog.jsx,29,generated by chatgpt,no code,,,
stell3r\2c09e90df7cc59aac2eec993e86a193157b737c6\js\dynamicmessage.js,5,generated by chatgpt,file,"[1,87]",,
TP1-dev-web\061607b28ef007131c6e6a1fa1be36b575bd2021\src\Components\NestedGrid.js,12,generated by chatgpt,method,"[13,32]",,
Using-Konduktiva-With-MIDI\a4fe0844bfcb987ecdd1d62441365df72220678a\arrayTransformations.js,10,generated with chatgpt,method,"[11,21]",,
r\a5037d2bc687de9a3cc7181229689db631fbcebb\game\game.js,2,generated by chatgpt,file,"[1,103]",,
social-network-api\a0c85cff2e0dca381a1c854f4c80e957a1d3ec1c\utils\data.js,2,generated by chatgpt,statement,"[5,46]",,input
TomorrowNowApp\d367e77288b20d13c6887c5b2c3559d96db40c90\webapp\src\components\OpenLayers\Filters\shaders.js\gaussianRandomWalk.js,1,generated by chatgpt,file,"[1,64]",,
livecode_19_sketchbook\88ce9055c99a5aa66e991c12c588e92e7b84d7c9\sketches\cf_sketching\06_pixels\paint_01.js,5,generated by chatgpt,statement,"[7,13]",,input
TopLandWeb\50b18e20cbcd43d6f072a1530c6af93d2f12f689\src\htmlHelper.js,14,generated by chatgpt,statement,"[15,16]",,regular expression
ubicomp_assign_1\c11eb47a03eca7adcf95f415920c9eb5d84a5f7a\assignment_1\pages\AllTrails.js,11,generated by chatgpt,statement,"[11, 11]",,input
TVShowTracker\0f46c96f068b7e48a35a97af8c99b005e377227f\frontend\static\scripts\main.js,1,generated by chatgpt,no code,,,
GoogleSnakePudding\ce56d255cf4fe6cd11d05dc0b82ba7eb56409592\PuddingMod.js,2809,generated by chatgpt,method,"[2810,2842]",,
ruffle\6a94ec42bd9ad89ab68e1e57b94e8e3b125a81a4\js\subtitle.js,5,generated by chatgpt,file,"[1,484]",,input
purvs\83119bd822493e1575bed9721f5e69ed7a8f93ab\clock\2023\Riley_Campbell\clock.js,122,generated by chatgpt,statement,"[123, 123]",,input
eslint-config\3b74ad2a660340fff6117654c72acb1dfebc034f\fixtures\output\js\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\b4d4cdc6d0a460717658c5f9df258cccfeb6fbaf\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,62]",,
Newsly-App\1a813f45e1b17c9b456f5b8199e4968b4544d5d4\src\settings.js,5038,generated by chatgpt,no code,,,
eslint-config\1d49ad6edfc939e6b6c106d64cbaff1ffa3f6d53\fixtures\javascript.js,1,generated by chatgpt,file,"[1,71]",,
Web-And-Mobile-App-Development-CS-370\fad6f98692449726c4edfccaf96d457a2dadfe57\React_Portfolio_Website\portfolio_website\src\components\ContactPage.jsx,5,generated by chatgpt,no code,,,
eslint-config\de4d7e4b4bac30c2b4750319272c2c1bf6839bdd\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,62]",,
eslint-config\2d739e77972d88042973ea93a4bbe6ae3c197c82\fixtures\output\overrides\javascript.js,1,generated by chatgpt,file,"[1,72]",,
CECS-491A-Spec\4240e0e16be56d2a1c125be7e43e19316e0f67e9\Project_Source_Code\Front-End\scripts\carHealthRatingScript.js,90,generated by chatgpt,statement,"[91, 91]",,
eslint-config\de4d7e4b4bac30c2b4750319272c2c1bf6839bdd\fixtures\output\js\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\2c4796982ba87cdc84547de2eadcc26db26a9f32\fixtures\output\js\javascript.js,1,generated by chatgpt,file,"[1,62]",,
KV6002-Research-Recruitment-Solution\f5166e15e111f085ac8c856d1eb902623e06328e\front\src\components\ViewStudiesResearcher\ShowStudies.jsx,2,generated by chatgpt,no code,,,
eslint-config\de4d7e4b4bac30c2b4750319272c2c1bf6839bdd\fixtures\output\no-style\javascript.js,1,generated by chatgpt,file,"[1,62]",,
eslint-config\2c4796982ba87cdc84547de2eadcc26db26a9f32\fixtures\output\no-style\javascript.js,1,generated by chatgpt,file,"[1,62]",,
ChatGPT-ToolBox\4cf35474c77d44eca90d33b2df721ccd675b3956\toolbox.user.js,19,generated by chatgpt,,,,
ui-generator\94974d547965a8694999271ec9bf4973caf2edfb\iterative_prompting_demo\src\sample_usage.js,17,generated by chatgpt,no code,,,
keysurf\42135619049c357ca70da08e9bcc3b3ff750840e\src\lib\sentences\randomSentence.js,7,generated by chatgpt,statement,"[8,14]",,input
top-n-binning\34ecc9b7969e11e5de36d1cc093cec95d676cce2\src\Graph.test.js,131,generated by chatgpt,no code,,,
chatgpt-todo\b2ecaed8e38769b91788dbdb1afc863eabb2bf84\react-app\src\TodoTracker.js,4,generated by chatgpt,file,"[1,95]",,
4-connect-4-languages\e57c08b73dc21a14abcc1dad51a7ccc1edff6202\four-connect.js,1,generated by chatgpt,file,"[1,153]",,
hackernews-gpt\e680d27c3123717d206d3760a30057afcaf7998c\react-app\src\App.js,50,generated by chatgpt,no code,,,
eslint-config\6c1e597bbd26234c1a62778c0e82f8ac9a77eaa4\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\e1f56e3b5de64a02993af28082310fa3b862ea70\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\e80be3847656c41bdf1e959826d6547d8c23ce9d\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\c97442b039cae50f8600013d868dfeaf5508c931\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\16ee4a7443baf81d81482586aea921e06785d715\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\16ee4a7443baf81d81482586aea921e06785d715\fixtures\output\ts-override\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\3a42ad6f65796231dee454984044f8f3d9f364f1\fixtures\output\with-formatters-customize\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\16ee4a7443baf81d81482586aea921e06785d715\fixtures\output\no-markdown-with-formatters\javascript.js,1,generated by chatgpt,file,"[1,72]",,
outredgames3442\2c09e90df7cc59aac2eec993e86a193157b737c6\js\dynamicmessage.js,5,generated by chatgpt,file,"[1,87]",,
outredgames\2c09e90df7cc59aac2eec993e86a193157b737c6\js\dynamicmessage.js,5,generated by chatgpt,file,"[1,87]",,
retd\2c09e90df7cc59aac2eec993e86a193157b737c6\js\dynamicmessage.js,5,generated by chatgpt,file,"[1,87]",,
outredgames\2c09e90df7cc59aac2eec993e86a193157b737c6\js\dynamicmessage.js,5,generated by chatgpt,file,"[1,87]",,
oldsite\ae0a9d56d4c664a921eb47eca9f7e6a5a6e5845c\3kh0\js\subtitle.js,5,generated by chatgpt,file,"[1,484]",,
eslint-config\3b74ad2a660340fff6117654c72acb1dfebc034f\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\3b74ad2a660340fff6117654c72acb1dfebc034f\fixtures\output\ts-override\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\3b74ad2a660340fff6117654c72acb1dfebc034f\fixtures\output\with-formatters\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\3b74ad2a660340fff6117654c72acb1dfebc034f\fixtures\output\no-markdown-with-formatters\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\de4d7e4b4bac30c2b4750319272c2c1bf6839bdd\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\de4d7e4b4bac30c2b4750319272c2c1bf6839bdd\fixtures\output\ts-override\javascript.js,1,generated by chatgpt,file,"[1,63]",,
eslint-config\87abc35ff742bee2ede542ed45e74e069337777d\fixtures\output\with-formatters\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\e13cabc6f39be2c8625506aecfc3123a19daf187\fixtures\output\no-markdown-with-formatters\javascript.js,1,generated by chatgpt,file,"[1,72]",,
eslint-config\2c4796982ba87cdc84547de2eadcc26db26a9f32\fixtures\output\all\javascript.js,1,generated by chatgpt,file,"[1,62]",,
