path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line
fast-fit-fun\dd1bf69cad0da842980982d2c4487a7b0a022a06\src\meow.ts,3,generated by chatgpt,,
Ticketer\bc107af19ceca2a6647d95429111e7326982b545\packages\djs-framework\src\classes\Base.ts,51,generated by chatgpt,,
chatgpt-nodejs-web\36a66eba0ad8c9685a238edaef27d59e4ae19e8e\src\domain\chatgpt-browser.ts,41,generated by chatgpt,,
color-junction\dcc9f7fbe24d2c77f60e805c18821ef9dc2af592\src\ts\functions\commonFunctions.ts,7,generated by chatgpt,,
AKCore\6b2f902a9199375b6be9cbbcdab009f95df8eb6b\src\AKCore\Scripts\translations\music.ts,9,generated by chatgpt,,
fintrack\e39079007a57d383b978833e4a7dd24d82329457\src\lib\utils.ts,26,generated by chatgpt,,
libwhatsthis\9d6c6990e942ff71df3641bc5def36d2df681072\src\string\cron.ts,3,generated by chatgpt,,
RequirementDefinitionTrainig\2de60e436c1c81c405f1d0743ee4186171df4210\src\classes\Utils.ts,11,generated by chatgpt,,
sum-up\1da24592afd1c1d8db83924e0fe441a85168dd0e\index.ts,79,generated by chatgpt,,
lawandorga-main-frontend\4816bf126683d884ae20aa0cb6e50d25697f5fc3\src\api\client.ts,53,generated by chatgpt,,
adventofcode\f9470c292b2103e50137fe8ed79abe5351460362\2022\Javascript\13.ts,11,generated by chatgpt,,
chen-overflow\01a7eec2df2579a0fa553407c62525fb86ef70c4\lib\utils.ts,9,generated by chatgpt,,
Morphify\b42b6a8fde75e1e26e4fb43a000f720a111ce4e1\lib\utils.ts,8,generated by chatgpt,,
WeekGolf\919b203e785f8194f8563dd5e726df5150e45c80\Server\src\api\v1\routes\lang.ts,221,generated by chatgpt,,
react-composite\c633b7105e6dcbbb951b97e618add9c9ea84b74c\docs\demos\_data.ts,16,generated by chatgpt,,
app\8f893aa975745936225b3386050bf23a20eb9f7d\src\hooks\use-throttle.ts,20,generated by chatgpt,,
typedraw\3a7ea42f400b0bfbb5eccdda46296c4ca7231e23\src\render\utils.ts,11,generated by chatgpt,,
cmdgate\9ee44e9d79905b8fe97ec6413b757cea27344594\examples\books-cli\src\data.ts,9,generated by chatgpt,,
crypties\05cb419365a541fdec9db6e508ab1cb2e8a02366\src\utils\mocks\original_card.ts,12,generated by chatgpt,,
showcases\ad3c696ff434d5da969ea65618b05c9bc9bbf474\CQRS\example.ts,2,generated by chatgpt,,
EchoTTS\a201f29d92f8f2956106366f124cb66a41ba2e14\src\scenarios\Poll.ts,261,generated by chatgpt,,
showcases\6c92f6ec8281f09684ba15c5192db20a1175651c\validateCompliance.ts,1,generated by chatgpt,,
ui-generator\94974d547965a8694999271ec9bf4973caf2edfb\iterative_prompting_demo\src\sample_usage.ts,20,generated by chatgpt,,
color-editor\faf5fa2f8292bbcf8e6267ec4d524e99cb0f52ec\src\Helper.ts,1,generated by chatgpt,,
gravywebsite\c811e5b3f4f89e79e44a9a25d63a62d55dda4d12\utils\gpt\hash.ts,28,generated by chatgpt,,
turnt2draw\673a486e4318a82a0d69d1fb25ff6cd9b84b649d\server\task_populate_db.ts,4,generated by chatgpt,,
textifai\966537a24d0b56c16778254cad33d80956cdeee6\packages\web\src\app\themes\colors.ts,38,generated by chatgpt,,
ceres\1578e029fb06e2029b73ef6618c7b423c8441144\dashboards\percentChange.ts,20,generated by chatgpt,,
spatial-interactions-extension\ea829f51cf51d0428fc8d645b6c6be56960e61c4\src\audioPlayer.ts,158,generated by chatgpt,,
70-7h3-m00n\ac2b8320f3b588a543f78c2409a87aa91857effe\packages\ui\fractals\utils\removeDuplicatesByKey.ts,19,generated by chatgpt,,
conjure-extension\cd7b718adce8d1b1536f8c1a51ee1f2de366ead3\src\option.ts,251,generated by chatgpt,,
weather-stuff\0625eea84f1718157dccad0ee542386f3804d52c\utils\openWeatherMap.ts,2,generated by chatgpt,,
ngx-french-toast\bc37beea65d81ed4312ef635c6d745aab47c966f\projects\ngx-french-toast\src\lib\utils\utils.ts,1,generated by chatgpt,,
galaga\9e8425f877a2a9b4f5764c934d6ae5db4e07474c\src\game\waves\paths\PathFollower.ts,11,generated by chatgpt,,
baby-diary\bb057d82b387febd88092a48760e510a31f4e582\src\utils\dateUtils.ts,63,generated by chatgpt,,
prague-meetup\64b994944d07318affaa18c9c7485f98eb1a53ab\src\utils\boolArrayCodec.ts,1,generated by chatgpt,,
showcases\f35a0471c780b9f35e391dfe29d78fe5016c9b3f\GRASP\example.ts,1,generated by chatgpt,,
whatsapp-clone\8dc0cd4e5f5e2027a9e4efbce36495c365bfe185\src\lib\utils.ts,8,generated by chatgpt,,
PandoraBCI\45580dc8e1b1eba9e1dd4b2fc4d8856b895df4ff\client\src\renderer\src\utils\utils.ts,1,generated by chatgpt,,
imaginify\526564d880230c56d30baac6a9e9f7d9745f8efb\lib\utils.ts,133,generated by chatgpt,,
portfolio2.0\a7234fb83de267e95d3715bc768d7b009230faf5\data.ts,193,generated by chatgpt,,
eugen.work\7341152c4b511d81c29d158e1b94ac3ff4f4716a\data\projectsData.ts,12,generated by chatgpt,,
audio-dashboard-prev\0a46f61e5c8ce342e6ab10a3e3d7d0f6e456a08c\app\src\hooks\rangeTest.ts,4,generated by chatgpt,,
bouldermate\03913ffa1d2b8caf66f6125e2582592de3b48d48\packages\api\src\constants\grades.ts,2,generated by chatgpt,,
OS-Project\1e54b8b51c562b3467a76d52470cff56dd5e324c\source\os\console.ts,85,generated by chatgpt,,
digital-edition-frontend-ng\e4ff5581b82efa2438a5eb3a03ce787bbfa0473b\src\app\services\url.service.ts,19,generated by chatgpt,,
simple-trivia-api\f80749cff41f6e13e48fc519e881d65936e2e81b\src\questions.ts,7,generated by chatgpt,,
portfolio\386e9a0076d503fc58ad6a6d6fb888835b1dc38e\locales\en.ts,109,generated by chatgpt,,
bouldermate\b24a8025cf16cb48b5349f1c744ad399e2e20da7\packages\mobile-app\src\constants\Grades.ts,2,generated by chatgpt,,
robotics-orin-gui\4a94817a4b7996c1878b39b977d14f412f44c262\src\app\coordinate-manager\coordinate-manager.component.ts,34,generated by chatgpt,,
nt-bytecode-analyzer\f2544cf600d1ed1769529b8f11f996de01fe7b10\opcode.ts,1,generated by chatgpt,,
QFTSim\454c97ea715260c415cc1dad62c1b2678613e682\qft-sim\src\physics\PhysicalConstants.ts,1,generated by chatgpt,,
movie-shelf-web\c998673f2b5c756f4695776eee329a07c636012a\src\translate\languages\en.ts,22,generated by chatgpt,,
jimmcnulty41.github.io\3e2b8c0ce709f023a536d1bfdeef253cb64b86e0\sims\src\lib\utils.ts,156,generated by chatgpt,,
next-shopify-example-monorepo\6c0c6acbcd68701d20275e4a70a218e42272dc96\apps-example\international-example\src\dictionaries\en\index.ts,140,generated by chatgpt,,
coding-challenge\e73d4e4684428e83901cf020e623949dacd0ab45\angular-challenges\src\app\components\rich-text-viewer\html-regex.ts,2,generated by chatgpt,,
vaporview\f35da421aca01528cfa7969ecef63bd5d2f801cb\src\web\extension.ts,2,generated by chatgpt,,
frenstr\4f0e9a4ae168ceaac9def9dfb52b27df44dcb33e\utils\nostr.ts,21,generated by chatgpt,,
ChatGPT-Web\439018e6e10d5e70d138936d3feb430cfd46de28\service\src\domain\chatgpt-browser.ts,43,generated by chatgpt,,
ecency-mobile\1d2143f637d720868eeee07d7d77d3f23c4573de\src\providers\polls\converters.ts,3,generated by chatgpt,,
showcases\23c785e0963fa7e62f27bbdf9a471a3c91957389\SOAR\example.ts,1,generated by chatgpt,,
chatgpt-chrome-extension\7ef28318bbc7c48f416c8565b2615d78a90cebe5\src\scripts\background\api.ts,77,generated by chatgpt,,
compiler\c005418ee46d67698ea7ffa55c33df59fd7d59e8\src\fsutils.mts,26,generated by chatgpt,,
oldmartijntje.nl-client\60f635def42d89e78435d6464e29da6dae689603\PlayTimeClient\src\app\data\homescreenItems.ts,79,generated by chatgpt,,
page-spy\a327495df80a4f4c651c1e84536e13c84efff232\packages\base\tests\ua.test.ts,3,generated by chatgpt,,
ngx-collection\d6165c2ff72d32d1a0292296d1007a736a4d66d1\projects\ngx-collection\src\lib\tests\comparator.spec.ts,114,generated by chatgpt,,
val\42227295b9ba90f110655267cfa911d439a8f4e6\packages\server\src\ValServer.test.ts,141,generated by chatgpt,,
test\a3528fff3e6641c848b78772d1e1ef36727ec579\utils\formatSummary.ts,5,generated by chatgpt,,
bibigpt\ec9acb037a330e8a275282d38a4077c8689deac6\utils\formatSummary.ts,5,generated by chatgpt,,
BibiGPTEx\885f93639d92cb3abadcf9351d160fe523e8ec70\utils\formatSummary.ts,5,generated by chatgpt,,
ZanOS\7db81fb72f9297180a8ec3b48606be00e8ce17b2\others\ChatGPT and Bili Summary JS Server\BibiGPT-main\utils\formatSummary.ts,5,generated by chatgpt,,
gpt4-with-calc\3c129d6d1b92a22f89b71b59434bd98ceae89295\src\util\util.ts,89,generated by copilot,,
vscode-lua\647ec37428caaf31a6e71e1546f1c05028917fec\client\src\languageserver.ts,187,generated by copilot,,
git-metrics\3635531f4cd5216a492a5036f0422aabf4361568\src\cloc-functions\cloc.model.ts,3,generated by copilot,,
lc-src\264a21a60367dfcd8776aaae265edf309ef7529e\src\lc-src.ts,14,generated by copilot,,
CatBot\4f32f83fa2d36d8e8c29e3959d9ecf48eb8572d5\src\tasks\vrcharging.ts,25,generated by copilot,,
berkeleytime-gql\e88b1d18e2dc895cd1db2e662dff710a82788ccc\src\utils\graphql.ts,5,generated by copilot,,
nostr-relay\e9a1f3b8d898ed33d51e8c90f4204d79462b4dd7\packages\common\src\interfaces\filter.interface.ts,11,generated by copilot,,
personal-site\d3ca6069619d0f3f438ea77dd25f6356d8862c52\src\data\personal.ts,6,generated by copilot,,
adventofcode2022\87790810e8b9e1e7e6bdff2235f1bef009b23676\utils\count.ts,3,generated by copilot,,
iwi-lore\8280002eee7cb89fcb6e60412a92012dfd405f60\app\models\note.server.ts,7,generated by copilot,,
chess-evolutionary-algo\681e5be6319c9d844e935cfc61aa33fbe2aa64c5\packages\pattern-engine\src\utils.ts,34,generated by copilot,,
leetcode\37bf0e1bd2ba73d94591acb0bbecddca38a05dc9\ts\problems\1328.ts,28,generated by copilot,,
cdd-ng\c87872c8ff4f45eab1addca8ba38740d6a780016\src\app\functions\leapyear.ts,22,generated by copilot,,
csc-324-sga-assisting-tool\fd511f706502d99f082e697a1094cd1f19a82288\src\app\budget\[budget_id]\review_actions.ts,70,generated with copilot,,
typeorm-storage-umzug\8c16991a404b028b0fa82544fb3cf14945454a8b\example\umzug\seeders\helpers\likes.ts,1,generated by copilot,,
kanovel\85fdaa26f285a6ff1992cec7b1fa6141d4e13081\src\util.ts,6,generated by copilot,,
100DaysOfDSA\2d9d6bcf6f6039595ab9661d8b75510c6f0044e9\Easy\744 Find Smallest Letter Greater Than Target.ts,34,generated by copilot,,
transcrobes\frontend\src\lib\types.ts,-1,,,
llm-functions\df7bdff7ab44093528b213b391698f00b7d0232e\packages\llm-functions\src\utils.ts,88,generated by copilot,,
git-metrics\3635531f4cd5216a492a5036f0422aabf4361568\src\cloc-functions\cloc-diff.model.ts,13,generated by copilot,,
adventofcode2022\a5b410b2146c519575322b8f2818cd7ad5a9cbaf\utils\chunk.ts,1,generated by copilot,,
adventofcode2022\87790810e8b9e1e7e6bdff2235f1bef009b23676\utils\overlap.ts,3,generated by copilot,,
adventofcode2022\e906f5df1ef27ea61508f1977907bcef21e3fe44\utils\transpose.ts,1,generated by copilot,,
iwi-lore\8280002eee7cb89fcb6e60412a92012dfd405f60\app\models\user.server.ts,9,generated by copilot,,
typeorm-storage-umzug\8c16991a404b028b0fa82544fb3cf14945454a8b\example\umzug\seeders\helpers\followers.ts,1,generated by copilot,,
nostr-relay\1d0d66cf4136d10d6cc8c511cffadbd2418e160a\packages\validator\src\schemas\req-message.schema.ts,66,generated by copilot,,
berkeleytime-gql\8a2bf6919ddaca8d7ce4c595bcb0db1766e3a029\src\utils\history.ts,7,generated by copilot,,
git-metrics\95c0f66b449b7d44cc68ae8d177481c475858d74\src\apps\monthly-cloc-diff\internals\commits-by-month.ts,4,generated by copilot,,
git-metrics\95c0f66b449b7d44cc68ae8d177481c475858d74\src\apps\monthly-cloc-diff\internals\commit-tuple.model.ts,4,generated by copilot,,
git-metrics\95c0f66b449b7d44cc68ae8d177481c475858d74\src\apps\monthly-cloc-diff\internals\commits-by-month.spec.ts,5,generated by copilot,,
git-metrics\95c0f66b449b7d44cc68ae8d177481c475858d74\src\apps\monthly-cloc-diff\internals\commit-monthly-pair.ts,45,generated by copilot,,
git-metrics\ce8ccf86c9dd954c2210bb1f2171bc827bb2566a\src\cloc-functions\cloc.spec.ts,9,generated by copilot,,
git-metrics\95c0f66b449b7d44cc68ae8d177481c475858d74\src\apps\monthly-cloc-diff\internals\repos-with-commits-by-month.spec.ts,7,generated by copilot,,
git-metrics\95c0f66b449b7d44cc68ae8d177481c475858d74\src\apps\monthly-cloc-diff\internals\commit-monthly-pair.spec.ts,7,generated by copilot,,
git-metrics\95c0f66b449b7d44cc68ae8d177481c475858d74\src\apps\monthly-cloc-diff\internals\repos-with-commits-by-month.functions.ts,49,generated by copilot,,
azuredatastudio\01e66ab3e68200cbc0b9937cae39446b777bbadb\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,98,generated by copilot,,
geometry\ae818463a07237a32f0d34102ec37a73b95503ac\src\__test__\Rect\Rect.test.ts,1,generated by copilot,,
monaco-editor-core\2259b00a1c9c90548cc9d3a18f8304b535b8962b\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,98,generated by copilot,,
sagemaker-code-editor\4acc4ab5e9a9de6b29db4ba80e6a844a7deff804\patched-vscode\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,102,generated by copilot,,
Ivie\248c29e61b7150dd2444118ce2bbdcd5b746d73e\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,102,generated by copilot,,
vscode-push\2259b00a1c9c90548cc9d3a18f8304b535b8962b\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,98,generated by copilot,,
ndollar_vsc_sketching\4899993fbfe8f5ef4af6eecd0e43b0b9e5b47c58\vscode\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,98,generated by copilot,,
jsts-test-sources\4dd233c9ce4a6a1b0cfbe8f7af019a66951732c0\vscode\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,102,generated by copilot,,
appflow\98d99fe2e787d28e6c495789f458c47cedf050f6\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,102,generated by copilot,,
dx-workspace\1bbce3800f9b369e6d3c942a28d55555dcf65773\gitpods\appflow\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,102,generated by copilot,,
dx-workspace\1a176222fa2cea8456d95b0fde43468b6ac7d0d0\gitpods\openvscode-server\src\vs\editor\test\common\model\bracketPairColorizer\combineTextEditInfos.test.ts,102,generated by copilot,,
docsQA-ui\fd61e4e95bd2de7d5ab3aa502a16c0af5e4b1f41\src\qa-bot\answer-renderers\text-with-link.ts,13,generated by gpt-3,,
coop-report-generator\79bb92d0313dc933d1a334ffb82cd9423316490a\backend\src\schema.ts,104,generated by gpt-3,,
Json-GPT\bdf7b9bdcb6348dbcb9eb0dec078b64e33dfdef0\solve\solve.ts,35,generated by gpt-3,,
gpt-3.5-turbo-discord\952c920d0e9e5f879ca97274f0ec1a5e9e48469f\src\interfaces\IGPTResponse.ts,3,generated by gpt-3,,
yks-smart-bot\a348876407fecb5883a85c7011f6ac93e6cd92da\util.ts,158,generated by gpt-3,,
prisma-connectOrCreate-where\e40fdfcd2c7283966a1b7011e42fbaabec72ee3f\posts.ts,2,generated by gpt-3,,
A3-GPT\0873af107e04b48a16fe06ccb99f78861e970d3c\src\models\methods\RequestManager\processBackLog.ts,18,generated by gpt-3,,
LUT_Advanced_Web_Applications\aa24008dc6406b185dec5023c3bbfdc303f5b41a\Week 07\src\app.ts,3,generated by gpt-3,,
loz\ffcfd3550d98628baa0d7d3e20eb7059874cca7c\test\git.test.ts,78,generated by gpt-3,,
window.ai\c4c91bdda2668bd670e7b230f40bca8060b36780\apps\extension\src\core\components\hooks\useInfiniteScroll.ts,3,generated by gpt-4,,
unit-runtime\28168103f6a6403847c6550957c6f1bfb780470d\all-in-one\src\components\Editor\vue-sfc.ts,1,generated by gpt-4,,
rn-phone-number-input\bb416b083607d17a958fcd25de37aa54a37395c6\src\countries.ts,1,generated by gpt-4,,
chat-history\d7724a17b10fe9b333bfb4774b404117baf8e4b5\src\utils\filetree.ts,2,generated by gpt-4,,
wanted-pre-onboarding-frontend\9ccef4461ddd1fef0e0d22e4b44787df9befd3b2\e2e\signup.spec.ts,5,generated by gpt-4,,
unit-runtime\28168103f6a6403847c6550957c6f1bfb780470d\all-in-one\src\components\Editor\svelte-sfc.ts,1,generated by gpt-4,,
monkeytype\41cb61f0b46012bc6125886cdba271a48c85180e\frontend\src\ts\utils\typo-list.ts,129,generated using chatgpt,,
merchant-center-application-kit\b5e797f4c8a3552b911a16759ee8dd77416cefb2\packages\constants\src\constants.ts,7,generated using chatgpt,,
svelper\b4066965abb577c16b95755a96af262fca90d098\src\lib\utils\audio\note-frequencies.ts,1,generated using chatgpt,,
comp30022\28f754a4f8c7f91828909dbf3ae4ec02fcd887bc\src\sample_data\sampleConnections.ts,35,generated using chatgpt,,
qt-app\ece5dacb52feec6d640a0e80fba05e5915fbdba3\common\utils.ts,118,generated using chatgpt,,
deeptyping2\41cb61f0b46012bc6125886cdba271a48c85180e\frontend\src\ts\utils\typo-list.ts,129,generated using chatgpt,,
ling-4100-final-paper-data\eb83857d11fa85d9c9a490191e1ee62949fee5d8\site\frontend\src\ts\utils\typo-list.ts,129,generated using chatgpt,,
advent-of-code-2023\a2fe4a0141d016fd7ffdea15f495c24f8b2d1933\day12\puzzle.ts,24,generated via chatgpt,,
NasaApp\e71d6fc21db43142ff927aa6315e6251ba31ba3f\Frontend\src\lib\colorHelper.ts,1,generated via chatgpt,,
bit-test\65606717613da465daf07518e73c78d936171217\src\index.ts,395,generated via chatgpt,,
vue-js-cron\7b33b18f69f599fb99f47b171716b1b6409aeaef\core\src\locale\ja.ts,4,generated with gpt-4,,
vue-js-cron\7b33b18f69f599fb99f47b171716b1b6409aeaef\core\src\locale\fr.ts,4,generated with gpt-4,,
vue-js-cron\7b33b18f69f599fb99f47b171716b1b6409aeaef\core\src\locale\hi.ts,4,generated with gpt-4,,
vue-js-cron\7b33b18f69f599fb99f47b171716b1b6409aeaef\core\src\locale\ru.ts,4,generated with gpt-4,,
